date_only,antimicrobial resistance,outbreak,virus
2025-12-13,10.0,0.0,0.0
2025-12-14,7.0,0.0,0.0
2025-12-15,17.0,0.0,0.0
2025-12-16,20.0,0.0,0.0
2025-12-17,13.0,0.0,0.0
2025-12-18,22.0,0.0,0.0
2025-12-19,19.0,0.0,0.0
2025-12-20,3.0,0.0,0.0
2025-12-21,3.0,0.0,0.0
2025-12-22,9.0,0.0,0.0
2025-12-23,16.0,0.0,0.0
2025-12-24,7.0,0.0,0.0
2025-12-25,7.0,0.0,0.0
2025-12-26,5.0,0.0,0.0
2025-12-27,1.0,0.0,0.0
2025-12-28,14.0,0.0,0.0
2025-12-29,30.0,0.0,0.0
2025-12-30,8.0,0.0,0.0
2025-12-31,22.0,0.0,0.0
2026-01-01,11.0,218.0,213.0
2026-01-02,0.0,4.0,2.0
