date_only,0,1,2,3,4
2025-12-13,2.0,0.0,4.0,3.0,1.0
2025-12-14,3.0,2.0,1.0,0.0,1.0
2025-12-15,3.0,3.0,3.0,3.0,5.0
2025-12-16,2.0,13.0,0.0,2.0,3.0
2025-12-17,3.0,2.0,3.0,2.0,3.0
2025-12-18,5.0,2.0,8.0,2.0,5.0
2025-12-19,6.0,5.0,1.0,3.0,4.0
2025-12-20,2.0,0.0,0.0,1.0,0.0
2025-12-21,1.0,0.0,1.0,1.0,0.0
2025-12-22,5.0,0.0,2.0,0.0,2.0
2025-12-23,6.0,7.0,0.0,1.0,2.0
2025-12-24,0.0,2.0,1.0,1.0,3.0
2025-12-25,1.0,2.0,1.0,1.0,2.0
2025-12-26,2.0,1.0,0.0,0.0,2.0
2025-12-27,1.0,0.0,0.0,0.0,0.0
2025-12-28,9.0,0.0,2.0,1.0,2.0
2025-12-29,13.0,7.0,2.0,3.0,5.0
2025-12-30,0.0,1.0,2.0,2.0,3.0
2025-12-31,5.0,1.0,1.0,5.0,10.0
2026-01-01,96.0,68.0,106.0,91.0,81.0
2026-01-02,3.0,0.0,0.0,2.0,1.0
